"scenario","run","method","ARI","NMI","seconds"
"noisy",19,"longTAPIO-screened",0.767466026208642,0.774438759716935,2.35199999999895
"noisy",19,"clusterMLD",0.636342456990876,0.630628372894007,1.76200000000244
"noisy",19,"kml3d",0.835768621559337,0.808212244643601,0.301999999996042
"noisy",20,"longTAPIO-random_weighted",0.663083925718049,0.653239771482961,2.23200000000361
"noisy",20,"longTAPIO-random_weighted_95",0.677509330937945,0.681629776437134,2.26499999999942
"noisy",20,"longTAPIO-first",0.48481453359645,0.489944868463506,2.41999999999825
"noisy",20,"longTAPIO-screened",0.663083925718049,0.653239771482961,2.23200000000361
"noisy",20,"clusterMLD",0.764221054699475,0.745757618576453,1.74099999999453
"noisy",20,"kml3d",0.838957489789137,0.836871120397835,0.307000000000698
"noisy",21,"longTAPIO-random_weighted",0.73385414086774,0.726507274988718,2.34500000000116
"noisy",21,"longTAPIO-random_weighted_95",0.611945180801955,0.627838319842818,2.42500000000291
"noisy",21,"longTAPIO-first",0.577065370944297,0.581618000793311,2.24199999999837
"noisy",21,"longTAPIO-screened",0.73385414086774,0.726507274988718,2.34500000000116
"noisy",21,"clusterMLD",0.759694516436079,0.739583960939487,1.75500000000466
"noisy",21,"kml3d",0.909724050076753,0.893430337403347,0.317999999999302
"noisy",22,"longTAPIO-random_weighted",0.743518852916712,0.715327691688567,2.38000000000466
"noisy",22,"longTAPIO-random_weighted_95",0.70786771260353,0.671687899739855,2.24599999999919
"noisy",22,"longTAPIO-first",0.536482775019486,0.580060586989786,2.25999999999476
"noisy",22,"longTAPIO-screened",0.743518852916712,0.715327691688567,2.38000000000466
"noisy",22,"clusterMLD",0.82237557067467,0.830216987263234,1.75699999999779
"noisy",22,"kml3d",0.862176844763827,0.855117044996078,0.302999999999884
"noisy",23,"longTAPIO-random_weighted",0.645295532252302,0.639457178085982,2.21099999999569
"noisy",23,"longTAPIO-random_weighted_95",0.52687476246344,0.570881104739741,2.28099999998813
"noisy",23,"longTAPIO-first",0.539176903557565,0.565609879246485,2.30100000000675
"noisy",23,"longTAPIO-screened",0.645295532252302,0.639457178085982,2.21099999999569
"noisy",23,"clusterMLD",0.779263724074423,0.783847178668341,1.88700000000244
"noisy",23,"kml3d",0.870744329570163,0.845538645987481,0.320999999996275
"noisy",24,"longTAPIO-random_weighted",0.665716645762141,0.668211823307159,2.35400000000664
"noisy",24,"longTAPIO-random_weighted_95",0.737905067186343,0.707911736135924,2.55999999999767
"noisy",24,"longTAPIO-first",0.492552753129091,0.521372457464544,2.31100000000151
"noisy",24,"longTAPIO-screened",0.665716645762141,0.668211823307159,2.35400000000664
"noisy",24,"clusterMLD",0.692752608853688,0.690064063356081,1.78099999998813
"noisy",24,"kml3d",0.870833058635382,0.845187065973612,0.305000000007567
"noisy",25,"longTAPIO-random_weighted",0.52465581641754,0.566883332546153,2.39999999999418
"noisy",25,"longTAPIO-random_weighted_95",0.605148085643268,0.609662877198804,2.23200000000361
"noisy",25,"longTAPIO-first",0.524672059881001,0.55625551863154,2.25999999999476
"noisy",25,"longTAPIO-screened",0.52465581641754,0.566883332546153,2.39999999999418
"noisy",25,"clusterMLD",0.699341465609457,0.696543077266146,1.7560000000085
"noisy",25,"kml3d",0.883546872759229,0.862718375988028,0.319999999992433
"noisy",26,"longTAPIO-random_weighted",0.661135725383304,0.690298799909472,2.20699999999488
"noisy",26,"longTAPIO-random_weighted_95",0.617225507085264,0.643537501775086,2.28599999999278
"noisy",26,"longTAPIO-first",0.57762083500105,0.617342984501935,2.33100000000559
"noisy",26,"longTAPIO-screened",0.661135725383304,0.690298799909472,2.20699999999488
"noisy",26,"clusterMLD",0.681936139911818,0.711700390035326,1.89999999999418
"noisy",26,"kml3d",0.895733988440485,0.883005302789226,0.320999999996275
"noisy",27,"longTAPIO-random_weighted",0.545596670165386,0.551323238342056,2.34100000000035
"noisy",27,"longTAPIO-random_weighted_95",0.492348307728816,0.516333591870896,2.46499999999651
"noisy",27,"longTAPIO-first",0.408387620258892,0.4494243992124,2.25
"noisy",27,"longTAPIO-screened",0.545596670165386,0.551323238342056,2.34100000000035
"noisy",27,"clusterMLD",0.698342325308471,0.685832457889191,1.75699999999779
"noisy",27,"kml3d",0.749985221343506,0.721101598065754,0.320999999996275
"noisy",28,"longTAPIO-random_weighted",0.64799456978735,0.665464519942313,2.40699999999197
"noisy",28,"longTAPIO-random_weighted_95",0.653690029532149,0.67968530200149,2.31399999999849
"noisy",28,"longTAPIO-first",0.460826341634772,0.494209553456379,2.35099999999511
"noisy",28,"longTAPIO-screened",0.64799456978735,0.665464519942313,2.40699999999197
"noisy",28,"clusterMLD",0.5905115364279,0.617644452895163,1.73799999999756
"noisy",28,"kml3d",0.839724790034479,0.832277587777288,0.298999999999069
"noisy",29,"longTAPIO-random_weighted",0.646442626218586,0.649750639593925,2.20000000001164
"noisy",29,"longTAPIO-random_weighted_95",0.506044987256372,0.562992357710701,2.2609999999986
"noisy",29,"longTAPIO-first",0.531666401411384,0.526408239054326,2.27199999999721
"noisy",29,"longTAPIO-screened",0.646442626218586,0.649750639593925,2.20000000001164
"noisy",29,"clusterMLD",0.774803185997813,0.75093565893736,1.8640000000014
"noisy",29,"kml3d",0.921082292985312,0.898994677532144,0.313999999998487
"noisy",30,"longTAPIO-random_weighted",0.706744961764836,0.693690542112319,2.32099999999627
"noisy",30,"longTAPIO-random_weighted_95",0.686845520154496,0.68252864277714,2.42500000000291
"noisy",30,"longTAPIO-first",0.452157547884845,0.517546364467192,2.21799999999348
"noisy",30,"longTAPIO-screened",0.706744961764836,0.693690542112319,2.32099999999627
"noisy",30,"clusterMLD",0.757594863099647,0.74277936969143,1.75099999998929
"noisy",30,"kml3d",0.888053269809353,0.882006911278166,0.305999999996857
"imbalanced",1,"longTAPIO-random_weighted",0.988098940902922,0.961655697022585,2.36499999999069
"imbalanced",1,"longTAPIO-random_weighted_95",1,1,2.21099999999569
"imbalanced",1,"longTAPIO-first",0.496000382844164,0.559934191039224,2.22599999999511
"imbalanced",1,"longTAPIO-screened",0.988098940902922,0.961655697022585,2.36499999999069
"imbalanced",1,"clusterMLD",1,1,1.74199999999837
"imbalanced",1,"kml3d",0.992128591637417,0.978365469732574,0.301000000006752
"imbalanced",2,"longTAPIO-random_weighted",0.984499974259095,0.962476329994965,2.1869999999908
"imbalanced",2,"longTAPIO-random_weighted_95",0.991917458028793,0.969261761830672,2.24599999999919
