"eta","sigma","run","Original_Train_ARI","Original_Train_NMI","Inductive_Train_ARI","Inductive_Train_NMI","Between_Methods_ARI","Between_Methods_NMI","Delta_Train_ARI","Delta_Train_NMI","Inductive_Test_ARI","Inductive_Test_NMI","Inductive_Test_Margin","Test_Minus_Train_ARI","Test_Minus_Train_NMI","Time_Original","Time_Inductive_Fit","Time_Inductive_Predict"
5,5,11,0.844239657542718,0.824902393566186,0.844239657542718,0.824902393566186,1,1,0,0,0.731742402835932,0.776806873644666,0.162386336850284,-0.112497254706786,-0.0480955199215197,0.535000000000025,1.54599999999999,3.125
5,5,12,0.832844067835498,0.816764579562667,0.832844067835498,0.816764579562667,1,1,0,0,0.833781444638654,0.815933557592918,0.201589375268981,0.000937376803156642,-0.000831021969749046,0.550999999999988,1.54899999999998,3.14999999999998
5,5,13,0.815227835342133,0.819980014036841,0.815227835342133,0.819980014036841,1,1,0,0,0.733192643955381,0.758949329273915,0.187505865697807,-0.0820351913867512,-0.0610306847629264,0.548999999999978,1.54500000000002,3.13900000000001
5,5,14,0.814265304940989,0.809659329488175,0.814265304940989,0.809659329488175,1,1,0,0,0.924153735664199,0.912320488391647,0.190209014778325,0.10988843072321,0.102661158903472,0.537000000000035,1.54999999999995,3.12900000000002
5,5,15,0.895843588413974,0.888629353813356,0.895843588413974,0.888629353813356,1,1,0,0,0.861106509422611,0.8803041699354,0.197826343101343,-0.0347370789913631,-0.00832518387795633,0.545999999999992,1.54899999999998,3.22699999999998
5,5,16,0.714369975740855,0.715536942008351,0.714369975740855,0.715536942008351,1,1,0,0,0.886874083299875,0.899021536363778,0.187908809047713,0.172504107559019,0.183484594355427,0.548999999999978,1.548,3.13300000000004
5,5,17,0.869248615563048,0.857045526054064,0.869248615563048,0.857045526054064,1,1,0,0,0.86671527075386,0.862897195155726,0.161604890046296,-0.00253334480918843,0.00585166910166157,0.54000000000002,1.55200000000002,3.14000000000004
5,5,18,0.754368209639047,0.791122595140843,0.754368209639047,0.791122595140843,1,1,0,0,0.741167254210732,0.745680844523762,0.130817861147823,-0.013200955428315,-0.0454417506170819,0.63900000000001,1.54899999999998,3.137
5,5,19,0.662498321015679,0.756517513587672,0.662498321015679,0.756517513587672,1,1,0,0,0.778721436263831,0.781050623429874,0.185238644985662,0.116223115248152,0.024533109842202,0.550000000000011,1.548,3.15000000000003
5,5,20,0.804513190791279,0.80416718616465,0.804513190791279,0.80416718616465,1,1,0,0,0.711389799921936,0.70317077781039,0.154651804320691,-0.0931233908693431,-0.10099640835426,0.537000000000035,1.55100000000004,3.22399999999999
5,7,1,0.294617931925119,0.372204640422367,0.294617931925119,0.372204640422367,1,1,0,0,0.295467446724728,0.342182020307175,0.102912871876661,0.000849514799608542,-0.030022620115192,0.548999999999978,1.54499999999996,3.13600000000002
5,7,2,0.44352904160813,0.521272240558453,0.44352904160813,0.521272240558453,1,1,0,0,0.509148924297534,0.543474571195622,0.119825237235852,0.0656198826894046,0.0222023306371697,0.550000000000011,1.548,3.13499999999999
5,7,3,0.39501447836072,0.473368092221381,0.39501447836072,0.473368092221381,1,1,0,0,0.457105958520608,0.48485260446537,0.094062318927571,0.0620914801598877,0.0114845122439892,0.536999999999978,1.64000000000004,3.13200000000001
5,7,4,0.240735617899153,0.343582813677898,0.240735617899153,0.343582813677898,1,1,0,0,0.228524548782027,0.340739967236281,0.0702534881026681,-0.0122110691171261,-0.00284284644161698,0.552000000000021,1.55000000000001,3.14300000000003
5,7,5,0.393984901894417,0.426419829286572,0.393984901894417,0.426419829286572,1,1,0,0,0.500801704732408,0.585222875499133,0.124403580891331,0.106816802837992,0.158803046212561,0.550000000000011,1.54700000000003,3.13300000000004
5,7,6,0.50540297246364,0.542126979940013,0.50540297246364,0.542126979940013,1,1,0,0,0.665248226950355,0.662553385533735,0.11252975398795,0.159845254486714,0.120426405593723,0.539000000000044,1.54900000000004,3.13100000000003
5,7,7,0.429482835572854,0.447894647218117,0.429482835572854,0.447894647218117,1,1,0,0,0.630586437251954,0.625525874371225,0.114616636118397,0.201103601679099,0.177631227153108,0.548999999999978,1.54599999999999,3.14799999999997
5,7,8,0.355743714407873,0.415537002872811,0.355743714407873,0.415537002872811,1,1,0,0,0.534397119833297,0.563537033220235,0.113313394170032,0.178653405425424,0.148000030347424,0.548000000000002,1.54899999999998,3.154
5,7,9,0.373988449097362,0.407747304737213,0.373988449097362,0.407747304737213,1,1,0,0,0.524181366650452,0.589598144382711,0.113436195071011,0.15019291755309,0.181850839645498,0.539999999999964,1.55099999999999,3.13900000000001
5,7,10,0.431787811224507,0.496526054601304,0.431787811224507,0.496526054601304,1,1,0,0,0.509709369199249,0.557028964733271,0.12488744975051,0.0779215579747421,0.0605029101319667,0.550000000000011,1.55099999999999,3.13100000000009
5,7,11,0.412322910358708,0.481789065635692,0.412322910358708,0.481789065635692,1,1,0,0,0.298253524280102,0.417243160191375,0.116433045812224,-0.114069386078606,-0.064545905444317,0.548999999999978,1.54700000000003,3.13200000000006
5,7,12,0.407928216161805,0.435473950695898,0.407928216161805,0.435473950695898,1,1,0,0,0.317023776783259,0.429230182733738,0.10157585125448,-0.0909044393785467,-0.00624376796215975,0.535999999999945,1.55100000000004,3.13900000000001
5,7,13,0.484069535149831,0.514717319713484,0.484069535149831,0.514717319713484,1,1,0,0,0.600953144207493,0.590066016657627,0.117057661893109,0.116883609057663,0.0753486969441434,0.547000000000025,1.54899999999998,3.23199999999997
5,7,14,0.342785210585904,0.401099426839828,0.342785210585904,0.401099426839828,1,1,0,0,0.469421702404159,0.475198346165821,0.118003825170748,0.126636491818255,0.0740989193259925,0.548000000000002,1.548,3.13499999999999
