"Experiment","Structure","Condition","Run","N","P","Signal","Noise","SignalFraction","Method","Mtry","ARI","NMI","Time"
"DIMENSIONALITY","BALANCED","N80_P50_S20",6,80,50,20,30,0.4,"longTAPIO",8,0.778643667089882,0.82055380985001,0.673000000000684
"DIMENSIONALITY","BALANCED","N80_P50_S20",6,80,50,20,30,0.4,"kml3d",NA,0.674189581814423,0.720623127760338,1.0639999999994
"DIMENSIONALITY","BALANCED","N80_P50_S20",7,80,50,20,30,0.4,"longTAPIO",8,0.726211669528394,0.797604113263929,0.671999999999571
"DIMENSIONALITY","BALANCED","N80_P50_S20",7,80,50,20,30,0.4,"kml3d",NA,0.661605666058781,0.752296481365203,1.06999999999971
"DIMENSIONALITY","BALANCED","N80_P50_S20",8,80,50,20,30,0.4,"longTAPIO",8,0.643861044815699,0.741729296672175,0.671000000000276
"DIMENSIONALITY","BALANCED","N80_P50_S20",8,80,50,20,30,0.4,"kml3d",NA,0.629650337619887,0.711209525392666,1.07200000000012
"DIMENSIONALITY","BALANCED","N80_P50_S20",9,80,50,20,30,0.4,"longTAPIO",8,0.73007121036329,0.795053734334068,0.677999999999884
"DIMENSIONALITY","BALANCED","N80_P50_S20",9,80,50,20,30,0.4,"kml3d",NA,0.677910522806519,0.721996956955884,1.06700000000001
"DIMENSIONALITY","BALANCED","N80_P50_S20",10,80,50,20,30,0.4,"longTAPIO",8,0.696343671576361,0.772738849912865,0.773000000000138
"DIMENSIONALITY","BALANCED","N80_P50_S20",10,80,50,20,30,0.4,"kml3d",NA,0.712271279313756,0.763567766440831,1.0619999999999
"DIMENSIONALITY","BALANCED","N80_P50_S20",11,80,50,20,30,0.4,"longTAPIO",8,0.726744375169423,0.791009638334858,0.675000000000182
"DIMENSIONALITY","BALANCED","N80_P50_S20",11,80,50,20,30,0.4,"kml3d",NA,0.726744375169423,0.791009638334858,1.07399999999961
"DIMENSIONALITY","BALANCED","N80_P50_S20",12,80,50,20,30,0.4,"longTAPIO",8,0.966232285924091,0.963749350121208,0.677999999999884
"DIMENSIONALITY","BALANCED","N80_P50_S20",12,80,50,20,30,0.4,"kml3d",NA,0.732455803860107,0.754171517500094,1.0659999999998
"DIMENSIONALITY","BALANCED","N80_P50_S20",13,80,50,20,30,0.4,"longTAPIO",8,0.726744375169423,0.791009638334858,0.671999999999571
"DIMENSIONALITY","BALANCED","N80_P50_S20",13,80,50,20,30,0.4,"kml3d",NA,0.600480006857241,0.689374639829602,1.07099999999991
"DIMENSIONALITY","BALANCED","N80_P50_S20",14,80,50,20,30,0.4,"longTAPIO",8,0.70566254983109,0.761890949058053,0.672999999999774
"DIMENSIONALITY","BALANCED","N80_P50_S20",14,80,50,20,30,0.4,"kml3d",NA,0.689108608679537,0.751445202947962,1.07099999999991
"DIMENSIONALITY","BALANCED","N80_P50_S20",15,80,50,20,30,0.4,"longTAPIO",8,0.747399386084584,0.810426298419702,0.674999999999272
"DIMENSIONALITY","BALANCED","N80_P50_S20",15,80,50,20,30,0.4,"kml3d",NA,0.591750602549125,0.687224505538284,1.06400000000031
"DIMENSIONALITY","BALANCED","N80_P50_S20",16,80,50,20,30,0.4,"longTAPIO",8,0.761008403361345,0.813225544610645,0.675000000000182
"DIMENSIONALITY","BALANCED","N80_P50_S20",16,80,50,20,30,0.4,"kml3d",NA,0.639481566192888,0.691992983812006,1.07099999999991
"DIMENSIONALITY","BALANCED","N80_P50_S20",17,80,50,20,30,0.4,"longTAPIO",8,0.502623294858342,0.625,0.766000000000531
"DIMENSIONALITY","BALANCED","N80_P50_S20",17,80,50,20,30,0.4,"kml3d",NA,0.578398983481576,0.698391110799899,1.06400000000031
"DIMENSIONALITY","BALANCED","N80_P50_S20",18,80,50,20,30,0.4,"longTAPIO",8,0.683375378130153,0.739215003844406,0.679000000000087
"DIMENSIONALITY","BALANCED","N80_P50_S20",18,80,50,20,30,0.4,"kml3d",NA,0.607881220596487,0.692873627718195,1.06899999999951
"DIMENSIONALITY","BALANCED","N80_P50_S20",19,80,50,20,30,0.4,"longTAPIO",8,0.601326689307138,0.713943431076702,0.673999999999978
"DIMENSIONALITY","BALANCED","N80_P50_S20",19,80,50,20,30,0.4,"kml3d",NA,0.622783083219645,0.727585076194006,1.08199999999943
"DIMENSIONALITY","BALANCED","N80_P50_S20",20,80,50,20,30,0.4,"longTAPIO",8,0.724045421197289,0.771218006519474,0.678999999999178
"DIMENSIONALITY","BALANCED","N80_P50_S20",20,80,50,20,30,0.4,"kml3d",NA,0.734902226545848,0.760203002924758,1.0659999999998
"DIMENSIONALITY","BALANCED","N80_P100_S40",1,80,100,40,60,0.4,"longTAPIO",10,0.966232285924091,0.963749350121208,0.73700000000008
"DIMENSIONALITY","BALANCED","N80_P100_S40",1,80,100,40,60,0.4,"kml3d",NA,0.786137810852577,0.789883889061627,3.76299999999992
"DIMENSIONALITY","BALANCED","N80_P100_S40",2,80,100,40,60,0.4,"longTAPIO",10,0.775156859785679,0.810413998836065,0.735000000000582
"DIMENSIONALITY","BALANCED","N80_P100_S40",2,80,100,40,60,0.4,"kml3d",NA,0.775156859785679,0.810413998836065,3.7519999999995
"DIMENSIONALITY","BALANCED","N80_P100_S40",3,80,100,40,60,0.4,"longTAPIO",10,0.737929098075103,0.818201400504777,0.738000000000284
"DIMENSIONALITY","BALANCED","N80_P100_S40",3,80,100,40,60,0.4,"kml3d",NA,0.657912158275724,0.714916668819382,3.76600000000053
"DIMENSIONALITY","BALANCED","N80_P100_S40",4,80,100,40,60,0.4,"longTAPIO",10,0.660231618403805,0.709396035666388,0.733000000000175
"DIMENSIONALITY","BALANCED","N80_P100_S40",4,80,100,40,60,0.4,"kml3d",NA,0.534690856033216,0.634408606888364,3.76599999999962
