"Experiment","Structure","Condition","N","P","Signal","Noise","SignalFraction","Method","ARI_Mean","NMI_Mean","Time_Mean","ARI_SD","NMI_SD","Time_SD"
"DIMENSIONALITY","IMBALANCED","N200_P10_S4",200,10,4,6,0.4,"kml3d",0.177906849530094,0.209360058596265,0.499250000000029,0.100662681530563,0.117773953496986,0.0305319073827332
"DIMENSIONALITY","IMBALANCED","N200_P10_S4",200,10,4,6,0.4,"longTAPIO",0.388288165904412,0.512092020254271,2.1982500000001,0.12292654343003,0.1184171920824,0.064339457485033
"DIMENSIONALITY","IMBALANCED","N200_P100_S40",200,100,40,60,0.4,"kml3d",0.377360303466907,0.498948346249026,14.3434,0.0991517773615515,0.0967888438921389,0.743018410198906
"DIMENSIONALITY","IMBALANCED","N200_P100_S40",200,100,40,60,0.4,"longTAPIO",0.390628586974151,0.557627046262464,4.0054000000001,0.1292727618831,0.103176591191231,0.243286359320715
"DIMENSIONALITY","IMBALANCED","N200_P25_S10",200,25,10,15,0.4,"kml3d",0.37505908232357,0.455546740480842,1.27065000000002,0.109164504867191,0.111612079247272,0.323405119088456
"DIMENSIONALITY","IMBALANCED","N200_P25_S10",200,25,10,15,0.4,"longTAPIO",0.434109065286708,0.568076807885053,2.91989999999996,0.151745167595631,0.121019444706487,0.720792611972163
"DIMENSIONALITY","IMBALANCED","N200_P50_S20",200,50,20,30,0.4,"kml3d",0.398240886724993,0.506243165177849,4.12544999999996,0.104694901252368,0.0976934416461346,0.2022480173606
"DIMENSIONALITY","IMBALANCED","N200_P50_S20",200,50,20,30,0.4,"longTAPIO",0.450759668709043,0.592050840887832,3.67059999999988,0.0915630032239391,0.0666631522846796,0.228342632670253
"DIMENSIONALITY","IMBALANCED","N80_P10_S4",80,10,4,6,0.4,"kml3d",0.133697767748476,0.186742126134164,0.39389999999994,0.0619664733657602,0.0598587629551701,0.0030244616745934
"DIMENSIONALITY","IMBALANCED","N80_P10_S4",80,10,4,6,0.4,"longTAPIO",0.340166803651441,0.465600169294923,0.84724999999994,0.105225459190257,0.0960498348841396,0.00793974015226615
"DIMENSIONALITY","IMBALANCED","N80_P100_S40",80,100,40,60,0.4,"kml3d",0.38722326554959,0.510635041407087,3.98500000000017,0.148836393612002,0.123041145516917,0.791140682146469
"DIMENSIONALITY","IMBALANCED","N80_P100_S40",80,100,40,60,0.4,"longTAPIO",0.445659409495145,0.586583659968308,0.794399999999996,0.120928795873597,0.0878681754517869,0.17805067285832
"DIMENSIONALITY","IMBALANCED","N80_P25_S10",80,25,10,15,0.4,"kml3d",0.276979195048735,0.393396458137933,0.718700000000035,0.0901968953448158,0.0825308967886037,0.0311770833517403
"DIMENSIONALITY","IMBALANCED","N80_P25_S10",80,25,10,15,0.4,"longTAPIO",0.413872441399567,0.557520502907231,0.894700000000057,0.124982715790098,0.103930916012407,0.0304977997481841
"DIMENSIONALITY","IMBALANCED","N80_P50_S20",80,50,20,30,0.4,"kml3d",0.343139804976562,0.451058913350028,1.63059999999987,0.125749139455752,0.123933627135628,0.00965401470904397
"DIMENSIONALITY","IMBALANCED","N80_P50_S20",80,50,20,30,0.4,"longTAPIO",0.421957651059921,0.559769013174908,0.987450000000035,0.137662745987853,0.109123573227644,0.0305363889912396
"NUISANCE","BALANCED","N120_P100_S8",120,100,8,92,0.08,"kml3d",0.145146777860559,0.183216092386522,8.18454999999981,0.0540616430143387,0.05249815721815,0.50838717891399
"NUISANCE","BALANCED","N120_P100_S8",120,100,8,92,0.08,"longTAPIO",0.47719679368813,0.526319846932687,1.83755000000001,0.106150510283472,0.102454943039193,0.111668906759504
"NUISANCE","BALANCED","N120_P16_S8",120,16,8,8,0.5,"kml3d",0.679911415812648,0.722346420462345,0.69985000000006,0.0723744939423654,0.0542771822000353,0.0318272888540082
"NUISANCE","BALANCED","N120_P16_S8",120,16,8,8,0.5,"longTAPIO",0.757916633408748,0.805961800029552,1.4969000000001,0.115575507922032,0.0874566873237781,0.0925731005605203
"NUISANCE","BALANCED","N120_P32_S8",120,32,8,24,0.25,"kml3d",0.603906779740553,0.6569174441621,1.61985,0.100946520694538,0.0837835738475212,0.0465032822836759
"NUISANCE","BALANCED","N120_P32_S8",120,32,8,24,0.25,"longTAPIO",0.737806254107748,0.793039317312979,1.68514999999993,0.0857253548126419,0.0687492274774089,0.0878654922985283
"NUISANCE","BALANCED","N120_P64_S8",120,64,8,56,0.125,"kml3d",0.321138885311224,0.366607774004824,5.74409999999998,0.124199894484393,0.117484950014065,0.147499830508365
