"visit","cluster","feature","mean_incremental","sd_incremental"
8,"Cluster 1","y4",0.00361925796332906,0.00976774997342505
8,"Cluster 1","y5",-0.00159847693861808,0.0106638812527597
8,"Cluster 2","y1",0.00516438022239154,0.0160928330920181
8,"Cluster 2","y2",-0.00189244398817939,0.0179279076768324
8,"Cluster 2","y3",-0.000280178576838452,0.0168451468739034
8,"Cluster 2","y4",-0.000987456570270443,0.0176974874139395
8,"Cluster 2","y5",-0.000450086658798547,0.0128247179978799
8,"Cluster 3","y1",-0.00059842163862314,0.00893881747797341
8,"Cluster 3","y2",-0.00118255627167297,0.00543699734546391
8,"Cluster 3","y3",0.00315564373551424,0.0110372118367047
8,"Cluster 3","y4",-0.00108448936660623,0.0121145639443543
8,"Cluster 3","y5",0.00253457022418231,0.012334597942463
8,"Cluster 4","y1",0.00401030182701023,0.0111695260903838
8,"Cluster 4","y2",0.00235509618836518,0.0086649014944893
8,"Cluster 4","y3",0.00206427915852932,0.00938239246966193
8,"Cluster 4","y4",-0.000482179886283311,0.00624568954916536
8,"Cluster 4","y5",0.000536822215222743,0.0102044641609113
9,"Cluster 1","y1",-0.00412416312400758,0.0121915754443915
9,"Cluster 1","y2",0.0030041447574095,0.00658415487389318
9,"Cluster 1","y3",0.0014010783151331,0.0128465206900857
9,"Cluster 1","y4",-0.000649880328110449,0.0100603351380128
9,"Cluster 1","y5",0.00518115613536943,0.0110553307476592
9,"Cluster 2","y1",0.00227474857168315,0.00959739662728414
9,"Cluster 2","y2",-0.000609408055032679,0.0108746291089067
9,"Cluster 2","y3",-0.00231969458207926,0.0157316270064696
9,"Cluster 2","y4",0.00193594643868632,0.013934426630657
9,"Cluster 2","y5",9.15155709688216e-05,0.0152052318837725
9,"Cluster 3","y1",2.98193936156932e-05,0.00783035638224144
9,"Cluster 3","y2",0.00146143474194134,0.00731135190107501
9,"Cluster 3","y3",0.00211728907121285,0.00858075102702307
9,"Cluster 3","y4",-0.000713141340622092,0.0118432867484709
9,"Cluster 3","y5",0.00326794785485558,0.0129210984343708
9,"Cluster 4","y1",0.00243297865128516,0.0080225543931807
9,"Cluster 4","y2",0.000496657173894066,0.00773144513631263
9,"Cluster 4","y3",-0.00295524488629512,0.00838579260575268
9,"Cluster 4","y4",-0.00498546013487224,0.0125355470246275
9,"Cluster 4","y5",-0.00393175798422087,0.0138807737834687
10,"Cluster 1","y1",-0.00228884285405588,0.00822148563180209
10,"Cluster 1","y2",0.002891128077257,0.00730662233250778
10,"Cluster 1","y3",-0.000555730058404935,0.0101403303822
10,"Cluster 1","y4",0.000296473423540533,0.0116845575932456
10,"Cluster 1","y5",7.06392369944816e-05,0.0107146539909989
10,"Cluster 2","y1",0.000788589262048567,0.00614561054607553
10,"Cluster 2","y2",0.00112254418155817,0.0126564199623278
10,"Cluster 2","y3",0.0030271551848757,0.0114036443775413
10,"Cluster 2","y4",0.000724429358982629,0.00957568736698373
10,"Cluster 2","y5",-0.00115569479841935,0.00957610562058972
