"run","visit","cluster","feature","importance"
3,1,3,"y5",0.62004150119577
3,1,4,"y1",0.816020702264736
3,1,4,"y2",0.782772262000221
3,1,4,"y3",0.576069091610284
3,1,4,"y4",1
3,1,4,"y5",0.558184270014558
3,2,1,"y1",0.92830139497298
3,2,1,"y2",0.961756421560753
3,2,1,"y3",0.814671906440452
3,2,1,"y4",0.795671598558584
3,2,1,"y5",0.691494739680747
3,2,2,"y1",0.932557501685549
3,2,2,"y2",0.896296292206915
3,2,2,"y3",0.853647280723207
3,2,2,"y4",0.844465183647371
3,2,2,"y5",0.68459923140865
3,2,3,"y1",0.993040096670982
3,2,3,"y2",0.815747436395536
3,2,3,"y3",0.82397893090859
3,2,3,"y4",0.79267427356946
3,2,3,"y5",0.627904425521508
3,2,4,"y1",0.899637480059172
3,2,4,"y2",0.843391555083556
3,2,4,"y3",0.723019446023272
3,2,4,"y4",0.9800859723124
3,2,4,"y5",0.599605522942477
3,3,1,"y1",0.933889831676193
3,3,1,"y2",0.911646735750912
3,3,1,"y3",0.779552471650119
3,3,1,"y4",0.767823383445638
3,3,1,"y5",0.60580198103287
3,3,2,"y1",0.98079822492596
3,3,2,"y2",0.808608455961378
3,3,2,"y3",0.834489983615442
3,3,2,"y4",0.739590915885008
3,3,2,"y5",0.661560485021015
3,3,3,"y1",0.99884661491496
3,3,3,"y2",0.885069003111376
3,3,3,"y3",0.865888103204975
3,3,3,"y4",0.77911026874413
3,3,3,"y5",0.636751592936547
3,3,4,"y1",0.933868421037796
3,3,4,"y2",0.837522574532193
3,3,4,"y3",0.804202588278522
3,3,4,"y4",0.975552117924148
3,3,4,"y5",0.584574213650046
3,4,1,"y1",0.966230971578831
3,4,1,"y2",0.899664115984666
3,4,1,"y3",0.77572298169257
3,4,1,"y4",0.825760164975819
3,4,1,"y5",0.651320981368461
3,4,2,"y1",1
3,4,2,"y2",0.764837542415494
3,4,2,"y3",0.858821972824178
3,4,2,"y4",0.735303460636221
3,4,2,"y5",0.608985200306718
3,4,3,"y1",0.999352982585691
3,4,3,"y2",0.902606335463107
3,4,3,"y3",0.906899853345715
3,4,3,"y4",0.811700411220826
3,4,3,"y5",0.648157320605586
3,4,4,"y1",0.96827227904495
3,4,4,"y2",0.907958870676039
3,4,4,"y3",0.864545425171399
3,4,4,"y4",0.94358960413228
3,4,4,"y5",0.593267998457756
3,5,1,"y1",0.996467083030824
3,5,1,"y2",0.918114755626056
3,5,1,"y3",0.782638782134787
3,5,1,"y4",0.837956974438411
3,5,1,"y5",0.67887751651641
3,5,2,"y1",1
3,5,2,"y2",0.785599131368825
3,5,2,"y3",0.859615878000887
3,5,2,"y4",0.734016519823299
3,5,2,"y5",0.628584589317674
3,5,3,"y1",0.999786194964047
3,5,3,"y2",0.914045019733743
3,5,3,"y3",0.896307884973023
3,5,3,"y4",0.809857386722809
3,5,3,"y5",0.678871362661161
3,5,4,"y1",0.960411359330556
3,5,4,"y2",0.901310232356865
3,5,4,"y3",0.873377672037748
3,5,4,"y4",0.950974390853998
3,5,4,"y5",0.612835782995171
3,6,1,"y1",1
3,6,1,"y2",0.899777336042082
3,6,1,"y3",0.802374651799341
3,6,1,"y4",0.831642406268685
3,6,1,"y5",0.700312065366985
3,6,2,"y1",0.995022988339816
3,6,2,"y2",0.769061617669068
3,6,2,"y3",0.858569508462412
3,6,2,"y4",0.744300163175314
3,6,2,"y5",0.635944566164444
3,6,3,"y1",1
3,6,3,"y2",0.926434532489928
3,6,3,"y3",0.902678455623002
3,6,3,"y4",0.815518420169331
3,6,3,"y5",0.685489244251041
3,6,4,"y1",0.965138377375664
3,6,4,"y2",0.935425026362125
3,6,4,"y3",0.873803217843659
3,6,4,"y4",0.92638699716128
3,6,4,"y5",0.609150089385747
3,7,1,"y1",0.992857130366731
3,7,1,"y2",0.90698215001134
3,7,1,"y3",0.804989633981855
3,7,1,"y4",0.832312496742375
3,7,1,"y5",0.715278952701994
3,7,2,"y1",0.996844831273394
3,7,2,"y2",0.77113365547453
3,7,2,"y3",0.855945586156708
3,7,2,"y4",0.741476910114536
3,7,2,"y5",0.633586658040957
3,7,3,"y1",0.999919136607225
3,7,3,"y2",0.929466331217322
3,7,3,"y3",0.899814584518962
3,7,3,"y4",0.811835972201712
3,7,3,"y5",0.684288313816382
3,7,4,"y1",0.97448769377065
3,7,4,"y2",0.949132845500795
3,7,4,"y3",0.857554054834841
3,7,4,"y4",0.918339285161852
3,7,4,"y5",0.602103961771685
3,8,1,"y1",0.995042626488222
3,8,1,"y2",0.913057421948601
3,8,1,"y3",0.817840137674147
3,8,1,"y4",0.833303201037803
3,8,1,"y5",0.724083331419949
3,8,2,"y1",1
3,8,2,"y2",0.781933117420743
3,8,2,"y3",0.860049004224436
3,8,2,"y4",0.737503204175057
3,8,2,"y5",0.615705112114372
3,8,3,"y1",0.999776663724421
