"scenario","run","P","P_signal","P_selected","signals_retained","false_positives","signal_mass","enrichment"
"imbalanced",14,10,5,5,5,0,0.862877162050552,6.29273121060008
"imbalanced",15,10,5,5,5,0,0.883013463131655,7.54799216020375
"imbalanced",16,10,5,5,5,0,0.88120585973897,7.41792362655829
"imbalanced",17,10,5,5,5,0,0.880997739141259,7.40320169368065
"imbalanced",18,10,5,5,5,0,0.862325776464925,6.26352380513143
"imbalanced",19,10,5,5,5,0,0.887684317891032,7.90347617734993
"imbalanced",20,10,5,5,5,0,0.881936711156718,7.47003340155472
"imbalanced",21,10,5,5,5,0,0.859036997600158,6.09406002266819
"imbalanced",22,10,5,5,5,0,0.860780681188806,6.18291116878815
"imbalanced",23,10,5,5,5,0,0.873094107791446,6.87985476952187
"imbalanced",24,10,5,5,5,0,0.871646448569892,6.7909803730248
"imbalanced",25,10,5,5,5,0,0.884732894933245,7.67550199530795
"imbalanced",26,10,5,5,5,0,0.883466184500669,7.58120019253762
"imbalanced",27,10,5,5,5,0,0.902917127431594,9.30047807140637
"imbalanced",28,10,5,5,5,0,0.901144778521232,9.1158035462475
"imbalanced",29,10,5,5,5,0,0.883801485972086,7.60596203286875
"imbalanced",30,10,5,5,5,0,0.873065721846722,6.87809262043828
